query_id,query_cuisine,day,hour,place_id,name,text_match,distance_km,rating,num_ratings,popularity,is_open,price_level,price_match,relevance
0,Bar_Pub_Brewery,Sat,20,135106,El Rincon de San Francisco,0.019,3.437,3.4,10,2.398,1,2,1.0,0
0,Bar_Pub_Brewery,Sat,20,135040,Restaurant los Compadres,0.096,4.997,1.5,4,1.609,1,3,0.5,0
0,Bar_Pub_Brewery,Sat,20,135070,Restaurante 75,0.078,9.112,2.75,8,2.197,1,2,1.0,0
0,Bar_Pub_Brewery,Sat,20,135065,El angel Restaurante,0.117,2.197,3.22,9,2.303,1,3,0.5,0
0,Bar_Pub_Brewery,Sat,20,135076,Restaurante Pueblo Bonito,0.191,3.201,3.62,13,2.639,1,3,0.5,1
0,Bar_Pub_Brewery,Sat,20,135086,Mcdonalds Parque Tangamanga,0.13,3.322,2.6,10,2.398,1,2,1.0,0
0,Bar_Pub_Brewery,Sat,20,132854,Sirlone,0.195,7.417,3.67,6,1.946,1,2,1.0,1
0,Bar_Pub_Brewery,Sat,20,132937,rockabilly,0.063,3.118,4.0,4,1.609,0,1,0.5,0
0,Bar_Pub_Brewery,Sat,20,132856,Unicols Pizza,0.117,3.445,2.71,14,2.708,1,1,0.5,0
0,Bar_Pub_Brewery,Sat,20,135033,Restaurant El Muladar de Calzada,0.155,4.269,2.5,4,1.609,1,2,1.0,0
0,Bar_Pub_Brewery,Sat,20,132862,La Posada del Virrey,0.141,2.578,3.78,18,2.944,1,3,0.5,1
0,Bar_Pub_Brewery,Sat,20,135042,Restaurant Oriental Express,0.186,3.14,3.5,20,3.045,1,2,1.0,1
0,Bar_Pub_Brewery,Sat,20,135045,Restaurante la Gran Via,0.126,2.889,3.92,13,2.639,1,3,0.5,1
0,Bar_Pub_Brewery,Sat,20,135053,La Fontana Pizza Restaurante and Cafe,0.144,1.548,3.25,8,2.197,1,3,0.5,0
0,Bar_Pub_Brewery,Sat,20,135025,El Rincon de San Francisco,0.166,3.301,4.33,15,2.773,1,2,1.0,2
